Title,Brand,Magnitude,Unit,Quantity,MRP,ean_code,TLC,MLC,LLC,Images
Keratin Smooth Pro Collection Shampoo - With Argan Oil Tresemme [340] {ml},Tresemme,340,ml,340 ml,370,8909106001404,Beauty & Hygiene,Hair Care,Shampoo & Conditioner,"https://www.bigbasket.com/media/uploads/p/l/40131429_6-tresemme-keratin-smooth-shampoo.jpg, https://www.bigbasket.com/media/uploads/p/l/40131429-2_6-tresemme-keratin-smooth-shampoo.jpg, https://www.bigbasket.com/media/uploads/p/l/40131429-3_6-tresemme-keratin-smooth-shampoo.jpg, https://www.bigbasket.com/media/uploads/p/l/40131429-4_6-tresemme-keratin-smooth-shampoo.jpg, https://www.bigbasket.com/media/uploads/p/l/40131429-5_5-tresemme-keratin-smooth-shampoo.jpg, https://www.bigbasket.com/media/uploads/p/l/40131429-6_5-tresemme-keratin-smooth-shampoo.jpg, https://www.bigbasket.com/media/uploads/p/l/40131429-7_3-tresemme-keratin-smooth-shampoo.jpg, https://www.bigbasket.com/media/uploads/p/l/40131429-8_3-tresemme-keratin-smooth-shampoo.jpg, https://www.bigbasket.com/media/uploads/p/l/40131429-9_3-tresemme-keratin-smooth-shampoo.jpg, https://www.bigbasket.com/media/uploads/p/l/40131429-10_2-tresemme-keratin-smooth-shampoo.jpg"
Keratin Smooth Shampoo Tresemme [580] {ml},Tresemme,580,ml,580 ml,720,8909106001428,Beauty & Hygiene,Hair Care,Shampoo & Conditioner,"https://www.bigbasket.com/media/uploads/p/l/40002097_16-tresemme-keratin-smooth-shampoo.jpg, https://www.bigbasket.com/media/uploads/p/l/40002097-2_10-tresemme-keratin-smooth-shampoo.jpg, https://www.bigbasket.com/media/uploads/p/l/40002097-3_9-tresemme-keratin-smooth-shampoo.jpg, https://www.bigbasket.com/media/uploads/p/l/40002097-4_9-tresemme-keratin-smooth-shampoo.jpg, https://www.bigbasket.com/media/uploads/p/l/40002097-5_9-tresemme-keratin-smooth-shampoo.jpg, https://www.bigbasket.com/media/uploads/p/l/40002097-6_5-tresemme-keratin-smooth-shampoo.jpg, https://www.bigbasket.com/media/uploads/p/l/40002097-7_3-tresemme-keratin-smooth-shampoo.jpg, https://www.bigbasket.com/media/uploads/p/l/40002097-8_3-tresemme-keratin-smooth-shampoo.jpg, https://www.bigbasket.com/media/uploads/p/l/40002097-9_3-tresemme-keratin-smooth-shampoo.jpg, https://www.bigbasket.com/media/uploads/p/l/40002097-10_2-tresemme-keratin-smooth-shampoo.jpg"
Ultra Sanitary Pads - XL Whisper [15] {pc},Whisper,15,pc,15 pcs,165,4987176257031,Beauty & Hygiene,Feminine Hygiene,Sanitary Napkins,"https://www.bigbasket.com/media/uploads/p/l/222783_17-whisper-sanitary-pads-xl-wings-ultra-clean.jpg, https://www.bigbasket.com/media/uploads/p/l/222783-2_12-whisper-sanitary-pads-xl-wings-ultra-clean.jpg, https://www.bigbasket.com/media/uploads/p/l/222783-3_12-whisper-sanitary-pads-xl-wings-ultra-clean.jpg, https://www.bigbasket.com/media/uploads/p/l/222783-4_12-whisper-sanitary-pads-xl-wings-ultra-clean.jpg, https://www.bigbasket.com/media/uploads/p/l/222783-5_1-whisper-sanitary-pads-xl-wings-ultra-clean.jpg, https://www.bigbasket.com/media/uploads/p/l/222783-6_1-whisper-sanitary-pads-xl-wings-ultra-clean.jpg"
"Original Deodorant & Complexion Soap, 99.9% Germ Protection Cinthol [100] {g}",Cinthol,100,g,100 g,420,40162215,Beauty & Hygiene,Bath & Hand Wash,Bathing Bars & Soaps,"https://www.bigbasket.com/media/uploads/p/l/40162215_2-cinthol-deodorant-complexion-soap-original-provides-germ-protection.jpg, https://www.bigbasket.com/media/uploads/p/l/40162215-2_2-cinthol-deodorant-complexion-soap-original-provides-germ-protection.jpg, https://www.bigbasket.com/media/uploads/p/l/40162215-3_2-cinthol-deodorant-complexion-soap-original-provides-germ-protection.jpg, https://www.bigbasket.com/media/uploads/p/l/40162215-4_2-cinthol-deodorant-complexion-soap-original-provides-germ-protection.jpg"
"Original Deodorant & Complexion Soap, 99.9% Germ Protection Cinthol [100] {g}",Cinthol,100,g,100 g,35,8901023000036,Beauty & Hygiene,Bath & Hand Wash,Bathing Bars & Soaps,"https://www.bigbasket.com/media/uploads/p/l/100016720_3-cinthol-original-bath-soap-999-germ-protection.jpg, https://www.bigbasket.com/media/uploads/p/l/100016720-2_1-cinthol-original-bath-soap-999-germ-protection.jpg"
Original Deodorant & Complexion Soap Cinthol [100] {g},Cinthol,100,g,100 g,46,8901023000034,Beauty & Hygiene,Bath & Hand Wash,Bathing Bars & Soaps,"https://www.bigbasket.com/media/uploads/p/l/40006990_4-cinthol-original-bath-soap-999-germ-protection.jpg, https://www.bigbasket.com/media/uploads/p/l/40006990-2_5-cinthol-original-bath-soap-999-germ-protection.jpg, https://www.bigbasket.com/media/uploads/p/l/40006990-3_5-cinthol-original-bath-soap-999-germ-protection.jpg, https://www.bigbasket.com/media/uploads/p/l/40006990-4_5-cinthol-original-bath-soap-999-germ-protection.jpg, https://www.bigbasket.com/media/uploads/p/l/40006990-5_5-cinthol-original-bath-soap-999-germ-protection.jpg, https://www.bigbasket.com/media/uploads/p/l/40006990-6_5-cinthol-original-bath-soap-999-germ-protection.jpg, https://www.bigbasket.com/media/uploads/p/l/40006990-7_5-cinthol-original-bath-soap-999-germ-protection.jpg, https://www.bigbasket.com/media/uploads/p/l/40006990-8_5-cinthol-original-bath-soap-999-germ-protection.jpg"
"Original Deodorant & Complexion Soap, 99.9% Germ Protection Cinthol [100] {g}",Cinthol,100,g,100 g,80,40227231,Beauty & Hygiene,Bath & Hand Wash,Bathing Bars & Soaps,"https://www.bigbasket.com/media/uploads/p/l/40227231_1-cinthol-bath-soap-999-germ-protection-deodorant-complexion-original.jpg, https://www.bigbasket.com/media/uploads/p/l/40227231-2_1-cinthol-bath-soap-999-germ-protection-deodorant-complexion-original.jpg, https://www.bigbasket.com/media/uploads/p/l/40227231-3_1-cinthol-bath-soap-999-germ-protection-deodorant-complexion-original.jpg"
"Bath Soap - 99.9% Germ Protection, Deodorant & Complexion, Original Cinthol [400] {g}",Cinthol,400,g,2x2x100 g,160,1215158,Beauty & Hygiene,Bath & Hand Wash,Bathing Bars & Soaps,"https://www.bigbasket.com/media/uploads/p/l/1215158_1-cinthol-bath-soap-999-germ-protection-deodorant-complexion-original.jpg, https://www.bigbasket.com/media/uploads/p/l/1215158-2_1-cinthol-bath-soap-999-germ-protection-deodorant-complexion-original.jpg, https://www.bigbasket.com/media/uploads/p/l/1215158-3_1-cinthol-bath-soap-999-germ-protection-deodorant-complexion-original.jpg"
Original Bath Soap - 99.9% Germ Protection Cinthol [400] {g},Cinthol,400,g,4x100 g,184,,Beauty & Hygiene,Bath & Hand Wash,Bathing Bars & Soaps,"https://www.bigbasket.com/media/uploads/p/l/1206737_2-cinthol-original-bath-soap-999-germ-protection.jpg, https://www.bigbasket.com/media/uploads/p/l/1206737-2_1-cinthol-original-bath-soap-999-germ-protection.jpg, https://www.bigbasket.com/media/uploads/p/l/1206737-3_1-cinthol-original-bath-soap-999-germ-protection.jpg, https://www.bigbasket.com/media/uploads/p/l/1206737-4_1-cinthol-original-bath-soap-999-germ-protection.jpg, https://www.bigbasket.com/media/uploads/p/l/1206737-5_1-cinthol-original-bath-soap-999-germ-protection.jpg, https://www.bigbasket.com/media/uploads/p/l/1206737-6_1-cinthol-original-bath-soap-999-germ-protection.jpg, https://www.bigbasket.com/media/uploads/p/l/1206737-7_1-cinthol-original-bath-soap-999-germ-protection.jpg, https://www.bigbasket.com/media/uploads/p/l/1206737-8_1-cinthol-original-bath-soap-999-germ-protection.jpg"
Original Deodorant & Complexion Soap Cinthol [100] {g},Cinthol,100,g,100 g,187,8901023009891,Beauty & Hygiene,Bath & Hand Wash,Bathing Bars & Soaps,"https://www.bigbasket.com/media/uploads/p/l/40006989_3-cinthol-deodorant-complexion-soap-original-provides-germ-protection.jpg, https://www.bigbasket.com/media/uploads/p/l/40006989-2_3-cinthol-deodorant-complexion-soap-original-provides-germ-protection.jpg"
